,img_path,species,ct_site
85,nepal19_crops/2019_BZ02_040115_box0_peacock.jpg,peacock,BZ02
92,nepal19_crops/2019_BZ02_040116_box0_bird.jpg,bird,BZ02
94,nepal19_crops/2019_BZ02_000411_box0_chital.jpg,chital,BZ02
95,nepal19_crops/2019_BZ02_040113_box0_bird.jpg,bird,BZ02
100,nepal19_crops/2019_BZ02_040367_box1_dog.jpg,dog,BZ02
105,nepal19_crops/2019_BZ03_041049_box0_goat.jpg,goat,BZ03
107,nepal19_crops/2019_BZ03_002456_box1_cow.jpg,cow,BZ03
108,nepal19_crops/2019_BZ03_004168_box2_cow.jpg,cow,BZ03
109,nepal19_crops/2019_BZ03_003999_box5_goat.jpg,goat,BZ03
110,nepal19_crops/2019_BZ03_046262_box2_cow.jpg,cow,BZ03
111,nepal19_crops/2019_BZ03_040634_box0_goat.jpg,goat,BZ03
113,nepal19_crops/2019_BZ03_004844_box0_goat.jpg,goat,BZ03
114,nepal19_crops/2019_BZ03_005479_box1_cow.jpg,cow,BZ03
115,nepal19_crops/2019_BZ03_004867_box9_goat.jpg,goat,BZ03
116,nepal19_crops/2019_BZ03_004246_box1_cow.jpg,cow,BZ03
118,nepal19_crops/2019_BZ03_045105_box0_cow.jpg,cow,BZ03
119,nepal19_crops/2019_BZ03_040673_box1_buffalo.jpg,buffalo,BZ03
122,nepal19_crops/2019_BZ03_003429_box0_cow.jpg,cow,BZ03
123,nepal19_crops/2019_BZ03_041123_box0_bird.jpg,bird,BZ03
124,nepal19_crops/2019_BZ03_041236_box0_domestic_cat.jpg,domestic_cat,BZ03
125,nepal19_crops/2019_BZ03_047553_box0_buffalo.jpg,buffalo,BZ03
127,nepal19_crops/2019_BZ03_003196_box0_cow.jpg,cow,BZ03
128,nepal19_crops/2019_BZ03_004157_box3_cow.jpg,cow,BZ03
130,nepal19_crops/2019_BZ03_041351_box0_cow.jpg,cow,BZ03
131,nepal19_crops/2019_BZ03_005332_box0_cow.jpg,cow,BZ03
133,nepal19_crops/2019_BZ03_003214_box2_cow.jpg,cow,BZ03
134,nepal19_crops/2019_BZ03_002333_box1_cow.jpg,cow,BZ03
135,nepal19_crops/2019_BZ03_004152_box0_cow.jpg,cow,BZ03
136,nepal19_crops/2019_BZ03_003869_box2_cow.jpg,cow,BZ03
137,nepal19_crops/2019_BZ03_041114_box2_bird.jpg,bird,BZ03
138,nepal19_crops/2019_BZ03_040163_box1_cow.jpg,cow,BZ03
141,nepal19_crops/2019_BZ03_003950_box0_cow.jpg,cow,BZ03
142,nepal19_crops/2019_BZ03_003247_box0_dog.jpg,dog,BZ03
143,nepal19_crops/2019_BZ03_002811_box0_goat.jpg,goat,BZ03
144,nepal19_crops/2019_BZ03_040702_box0_cow.jpg,cow,BZ03
145,nepal19_crops/2019_BZ03_003549_box0_cow.jpg,cow,BZ03
146,nepal19_crops/2019_BZ03_003460_box1_goat.jpg,goat,BZ03
148,nepal19_crops/2019_BZ03_002379_box1_goat.jpg,goat,BZ03
150,nepal19_crops/2019_BZ03_002026_box0_goat.jpg,goat,BZ03
151,nepal19_crops/2019_BZ03_003460_box0_goat.jpg,goat,BZ03
152,nepal19_crops/2019_BZ03_004845_box0_goat.jpg,goat,BZ03
153,nepal19_crops/2019_BZ03_002041_box0_goat.jpg,goat,BZ03
154,nepal19_crops/2019_BZ03_002811_box2_goat.jpg,goat,BZ03
155,nepal19_crops/2019_BZ03_040126_box1_goat.jpg,goat,BZ03
156,nepal19_crops/2019_BZ03_048265_box0_cow.jpg,cow,BZ03
160,nepal19_crops/2019_BZ03_005529_box2_buffalo.jpg,buffalo,BZ03
161,nepal19_crops/2019_BZ03_005332_box1_cow.jpg,cow,BZ03
162,nepal19_crops/2019_BZ03_002333_box2_cow.jpg,cow,BZ03
163,nepal19_crops/2019_BZ03_041044_box0_cow.jpg,cow,BZ03
164,nepal19_crops/2019_BZ03_005536_box0_buffalo.jpg,buffalo,BZ03
168,nepal19_crops/2019_BZ03_004785_box0_buffalo.jpg,buffalo,BZ03
169,nepal19_crops/2019_BZ03_045730_box0_cow.jpg,cow,BZ03
171,nepal19_crops/2019_BZ03_003179_box4_cow.jpg,cow,BZ03
172,nepal19_crops/2019_BZ03_005399_box4_cow.jpg,cow,BZ03
173,nepal19_crops/2019_BZ03_003000_box0_cow.jpg,cow,BZ03
174,nepal19_crops/2019_BZ03_040561_box0_cow.jpg,cow,BZ03
175,nepal19_crops/2019_BZ03_005396_box2_cow.jpg,cow,BZ03
176,nepal19_crops/2019_BZ03_003573_box0_cow.jpg,cow,BZ03
178,nepal19_crops/2019_BZ03_002811_box1_goat.jpg,goat,BZ03
179,nepal19_crops/2019_BZ03_047327_box0_cow.jpg,cow,BZ03
180,nepal19_crops/2019_BZ03_048265_box2_cow.jpg,cow,BZ03
182,nepal19_crops/2019_BZ03_004781_box1_buffalo.jpg,buffalo,BZ03
183,nepal19_crops/2019_BZ03_004785_box1_buffalo.jpg,buffalo,BZ03
184,nepal19_crops/2019_BZ03_005529_box4_goat.jpg,goat,BZ03
186,nepal19_crops/2019_BZ03_004795_box0_cow.jpg,cow,BZ03
189,nepal19_crops/2019_BZ03_002557_box0_cow.jpg,cow,BZ03
191,nepal19_crops/2019_BZ03_002525_box0_cow.jpg,cow,BZ03
192,nepal19_crops/2019_BZ03_003460_box2_goat.jpg,goat,BZ03
194,nepal19_crops/2019_BZ03_040897_box1_cow.jpg,cow,BZ03
197,nepal19_crops/2019_BZ03_001990_box0_cow.jpg,cow,BZ03
198,nepal19_crops/2019_BZ03_003324_box0_goat.jpg,goat,BZ03
199,nepal19_crops/2019_BZ03_040116_box2_buffalo.jpg,buffalo,BZ03
200,nepal19_crops/2019_BZ03_003756_box0_cow.jpg,cow,BZ03
201,nepal19_crops/2019_BZ03_041114_box3_bird.jpg,bird,BZ03
202,nepal19_crops/2019_BZ03_041071_box0_cow.jpg,cow,BZ03
203,nepal19_crops/2019_BZ03_004176_box2_cow.jpg,cow,BZ03
204,nepal19_crops/2019_BZ03_005313_box3_cow.jpg,cow,BZ03
205,nepal19_crops/2019_BZ03_002026_box1_cow.jpg,cow,BZ03
206,nepal19_crops/2019_BZ03_004152_box1_cow.jpg,cow,BZ03
208,nepal19_crops/2019_BZ03_045770_box0_cow.jpg,cow,BZ03
210,nepal19_crops/2019_BZ03_003214_box3_cow.jpg,cow,BZ03
211,nepal19_crops/2019_BZ03_005463_box0_cow.jpg,cow,BZ03
212,nepal19_crops/2019_BZ03_002333_box0_cow.jpg,cow,BZ03
213,nepal19_crops/2019_BZ03_003581_box0_domestic_cat.jpg,domestic_cat,BZ03
214,nepal19_crops/2019_BZ03_041154_box1_cow.jpg,cow,BZ03
215,nepal19_crops/2019_BZ03_005441_box3_goat.jpg,goat,BZ03
216,nepal19_crops/2019_BZ03_003951_box0_cow.jpg,cow,BZ03
218,nepal19_crops/2019_BZ03_005536_box3_goat.jpg,goat,BZ03
219,nepal19_crops/2019_BZ03_002041_box2_cow.jpg,cow,BZ03
220,nepal19_crops/2019_BZ03_005529_box1_buffalo.jpg,buffalo,BZ03
221,nepal19_crops/2019_BZ03_002487_box2_cow.jpg,cow,BZ03
222,nepal19_crops/2019_BZ03_041049_box1_cow.jpg,cow,BZ03
224,nepal19_crops/2019_BZ03_003429_box1_cow.jpg,cow,BZ03
225,nepal19_crops/2019_BZ03_040129_box3_buffalo.jpg,buffalo,BZ03
226,nepal19_crops/2019_BZ03_003277_box1_cow.jpg,cow,BZ03
227,nepal19_crops/2019_BZ03_041359_box0_cow.jpg,cow,BZ03
228,nepal19_crops/2019_BZ03_040645_box3_buffalo.jpg,buffalo,BZ03
229,nepal19_crops/2019_BZ03_040905_box0_cow.jpg,cow,BZ03
230,nepal19_crops/2019_BZ03_004360_box1_cow.jpg,cow,BZ03
231,nepal19_crops/2019_BZ03_050924_box1_cow.jpg,cow,BZ03
233,nepal19_crops/2019_BZ03_002244_box3_goat.jpg,goat,BZ03
234,nepal19_crops/2019_BZ03_002557_box2_cow.jpg,cow,BZ03
235,nepal19_crops/2019_BZ03_005529_box0_buffalo.jpg,buffalo,BZ03
236,nepal19_crops/2019_BZ03_040126_box3_cow.jpg,cow,BZ03
237,nepal19_crops/2019_BZ03_002843_box1_goat.jpg,goat,BZ03
238,nepal19_crops/2019_BZ03_005399_box2_cow.jpg,cow,BZ03
240,nepal19_crops/2019_BZ03_002456_box0_cow.jpg,cow,BZ03
242,nepal19_crops/2019_BZ03_005379_box3_cow.jpg,cow,BZ03
243,nepal19_crops/2019_BZ03_041337_box1_cow.jpg,cow,BZ03
245,nepal19_crops/2019_BZ03_003330_box2_goat.jpg,goat,BZ03
246,nepal19_crops/2019_BZ03_040273_box4_goat.jpg,goat,BZ03
247,nepal19_crops/2019_BZ03_049659_box0_cow.jpg,cow,BZ03
249,nepal19_crops/2019_BZ03_003452_box0_goat.jpg,goat,BZ03
250,nepal19_crops/2019_BZ03_005536_box4_goat.jpg,goat,BZ03
251,nepal19_crops/2019_BZ03_040889_box0_buffalo.jpg,buffalo,BZ03
252,nepal19_crops/2019_BZ03_002041_box1_goat.jpg,goat,BZ03
253,nepal19_crops/2019_BZ03_040116_box3_buffalo.jpg,buffalo,BZ03
254,nepal19_crops/2019_BZ03_005198_box0_bird.jpg,bird,BZ03
255,nepal19_crops/2019_BZ03_003499_box0_cow.jpg,cow,BZ03
256,nepal19_crops/2019_BZ03_003730_box1_cow.jpg,cow,BZ03
257,nepal19_crops/2019_BZ03_049660_box0_cow.jpg,cow,BZ03
259,nepal19_crops/2019_BZ03_040897_box0_cow.jpg,cow,BZ03
262,nepal19_crops/2019_BZ03_005076_box1_cow.jpg,cow,BZ03
263,nepal19_crops/2019_BZ03_005215_box1_cow.jpg,cow,BZ03
264,nepal19_crops/2019_BZ03_004781_box0_buffalo.jpg,buffalo,BZ03
265,nepal19_crops/2019_BZ03_003131_box1_cow.jpg,cow,BZ03
266,nepal19_crops/2019_BZ03_045303_box0_cow.jpg,cow,BZ03
267,nepal19_crops/2019_BZ03_004519_box0_goat.jpg,goat,BZ03
268,nepal19_crops/2019_BZ03_044729_box0_cow.jpg,cow,BZ03
269,nepal19_crops/2019_BZ03_004279_box0_dog.jpg,dog,BZ03
270,nepal19_crops/2019_BZ03_002244_box2_goat.jpg,goat,BZ03
272,nepal19_crops/2019_BZ03_040111_box0_buffalo.jpg,buffalo,BZ03
273,nepal19_crops/2019_BZ03_002790_box0_goat.jpg,goat,BZ03
274,nepal19_crops/2019_BZ03_040889_box2_buffalo.jpg,buffalo,BZ03
275,nepal19_crops/2019_BZ03_005486_box1_dog.jpg,dog,BZ03
276,nepal19_crops/2019_BZ03_041337_box0_cow.jpg,cow,BZ03
278,nepal19_crops/2019_BZ03_002843_box0_goat.jpg,goat,BZ03
279,nepal19_crops/2019_BZ03_000612_box0_cow.jpg,cow,BZ03
280,nepal19_crops/2019_BZ03_003169_box4_cow.jpg,cow,BZ03
281,nepal19_crops/2019_BZ03_003324_box1_goat.jpg,goat,BZ03
282,nepal19_crops/2019_BZ03_004867_box1_goat.jpg,goat,BZ03
283,nepal19_crops/2019_BZ03_041257_box0_cow.jpg,cow,BZ03
284,nepal19_crops/2019_BZ03_002487_box1_cow.jpg,cow,BZ03
286,nepal19_crops/2019_BZ03_040632_box1_goat.jpg,goat,BZ03
287,nepal19_crops/2019_BZ03_040273_box5_goat.jpg,goat,BZ03
288,nepal19_crops/2019_BZ03_003214_box0_cow.jpg,cow,BZ03
290,nepal19_crops/2019_BZ03_005441_box2_goat.jpg,goat,BZ03
291,nepal19_crops/2019_BZ03_046268_box1_cow.jpg,cow,BZ03
292,nepal19_crops/2019_BZ03_002781_box0_goat.jpg,goat,BZ03
294,nepal19_crops/2019_BZ03_050780_box0_cow.jpg,cow,BZ03
295,nepal19_crops/2019_BZ03_003179_box2_cow.jpg,cow,BZ03
296,nepal19_crops/2019_BZ03_040889_box5_cow.jpg,cow,BZ03
297,nepal19_crops/2019_BZ03_002638_box0_cow.jpg,cow,BZ03
299,nepal19_crops/2019_BZ03_003999_box3_goat.jpg,goat,BZ03
300,nepal19_crops/2019_BZ03_005441_box1_goat.jpg,goat,BZ03
302,nepal19_crops/2019_BZ03_003884_box0_cow.jpg,cow,BZ03
305,nepal19_crops/2019_BZ03_040467_box1_goat.jpg,goat,BZ03
306,nepal19_crops/2019_BZ03_005536_box2_buffalo.jpg,buffalo,BZ03
307,nepal19_crops/2019_BZ03_052188_box0_cow.jpg,cow,BZ03
308,nepal19_crops/2019_BZ03_003621_box1_goat.jpg,goat,BZ03
309,nepal19_crops/2019_BZ03_001979_box3_buffalo.jpg,buffalo,BZ03
310,nepal19_crops/2019_BZ03_002606_box2_cow.jpg,cow,BZ03
313,nepal19_crops/2019_BZ03_004548_box0_goat.jpg,goat,BZ03
314,nepal19_crops/2019_BZ03_040632_box0_buffalo.jpg,buffalo,BZ03
315,nepal19_crops/2019_BZ03_040273_box2_goat.jpg,goat,BZ03
316,nepal19_crops/2019_BZ03_040273_box1_goat.jpg,goat,BZ03
317,nepal19_crops/2019_BZ03_003029_box0_cow.jpg,cow,BZ03
318,nepal19_crops/2019_BZ03_005223_box0_cow.jpg,cow,BZ03
320,nepal19_crops/2019_BZ03_005222_box0_cow.jpg,cow,BZ03
321,nepal19_crops/2019_BZ03_002184_box3_cow.jpg,cow,BZ03
322,nepal19_crops/2019_BZ03_046268_box0_buffalo.jpg,buffalo,BZ03
323,nepal19_crops/2019_BZ03_004017_box1_cow.jpg,cow,BZ03
324,nepal19_crops/2019_BZ03_041114_box0_cow.jpg,cow,BZ03
325,nepal19_crops/2019_BZ03_040151_box0_cow.jpg,cow,BZ03
327,nepal19_crops/2019_BZ03_003136_box1_goat.jpg,goat,BZ03
328,nepal19_crops/2019_BZ03_003740_box0_cow.jpg,cow,BZ03
330,nepal19_crops/2019_BZ03_004112_box0_cow.jpg,cow,BZ03
331,nepal19_crops/2019_BZ03_041082_box0_cow.jpg,cow,BZ03
333,nepal19_crops/2019_BZ03_040561_box1_cow.jpg,cow,BZ03
334,nepal19_crops/2019_BZ03_004867_box5_cow.jpg,cow,BZ03
335,nepal19_crops/2019_BZ03_001990_box2_goat.jpg,goat,BZ03
336,nepal19_crops/2019_BZ03_004059_box0_cow.jpg,cow,BZ03
337,nepal19_crops/2019_BZ03_041154_box0_cow.jpg,cow,BZ03
338,nepal19_crops/2019_BZ03_041678_box0_cow.jpg,cow,BZ03
340,nepal19_crops/2019_BZ03_001914_box1_cow.jpg,cow,BZ03
341,nepal19_crops/2019_BZ03_004168_box0_cow.jpg,cow,BZ03
342,nepal19_crops/2019_BZ03_003880_box0_goat.jpg,goat,BZ03
343,nepal19_crops/2019_BZ03_004043_box0_domestic_cat.jpg,domestic_cat,BZ03
344,nepal19_crops/2019_BZ03_002525_box1_cow.jpg,cow,BZ03
345,nepal19_crops/2019_BZ03_004867_box6_cow.jpg,cow,BZ03
346,nepal19_crops/2019_BZ03_005536_box1_buffalo.jpg,buffalo,BZ03
348,nepal19_crops/2019_BZ03_005529_box3_goat.jpg,goat,BZ03
349,nepal19_crops/2019_BZ03_002244_box1_goat.jpg,goat,BZ03
350,nepal19_crops/2019_BZ03_040632_box2_goat.jpg,goat,BZ03
351,nepal19_crops/2019_BZ03_002842_box1_goat.jpg,goat,BZ03
353,nepal19_crops/2019_BZ03_002630_box0_cow.jpg,cow,BZ03
354,nepal19_crops/2019_BZ03_002660_box2_cow.jpg,cow,BZ03
355,nepal19_crops/2019_BZ03_040384_box6_cow.jpg,cow,BZ03
356,nepal19_crops/2019_BZ03_002070_box0_cow.jpg,cow,BZ03
357,nepal19_crops/2019_BZ03_002667_box1_cow.jpg,cow,BZ03
358,nepal19_crops/2019_BZ03_040116_box4_buffalo.jpg,buffalo,BZ03
359,nepal19_crops/2019_BZ03_040116_box0_cow.jpg,cow,BZ03
360,nepal19_crops/2019_BZ03_041283_box2_cow.jpg,cow,BZ03
361,nepal19_crops/2019_BZ03_001647_box0_domestic_cat.jpg,domestic_cat,BZ03
362,nepal19_crops/2019_BZ03_049678_box0_cow.jpg,cow,BZ03
363,nepal19_crops/2019_BZ03_005274_box0_dog.jpg,dog,BZ03
364,nepal19_crops/2019_BZ03_004317_box0_cow.jpg,cow,BZ03
365,nepal19_crops/2019_BZ03_040643_box0_buffalo.jpg,buffalo,BZ03
367,nepal19_crops/2019_BZ03_003706_box2_cow.jpg,cow,BZ03
368,nepal19_crops/2019_BZ03_003473_box1_cow.jpg,cow,BZ03
369,nepal19_crops/2019_BZ03_043882_box2_cow.jpg,cow,BZ03
370,nepal19_crops/2019_BZ03_004904_box2_cow.jpg,cow,BZ03
371,nepal19_crops/2019_BZ03_041034_box0_cow.jpg,cow,BZ03
372,nepal19_crops/2019_BZ03_040276_box0_domestic_cat.jpg,domestic_cat,BZ03
373,nepal19_crops/2019_BZ03_003277_box0_cow.jpg,cow,BZ03
374,nepal19_crops/2019_BZ03_044418_box1_goat.jpg,goat,BZ03
375,nepal19_crops/2019_BZ03_004315_box6_cow.jpg,cow,BZ03
377,nepal19_crops/2019_BZ03_002487_box0_cow.jpg,cow,BZ03
378,nepal19_crops/2019_BZ03_004225_box4_goat.jpg,goat,BZ03
380,nepal19_crops/2019_BZ03_041229_box0_domestic_cat.jpg,domestic_cat,BZ03
381,nepal19_crops/2019_BZ03_003179_box5_cow.jpg,cow,BZ03
382,nepal19_crops/2019_BZ03_004867_box4_goat.jpg,goat,BZ03
384,nepal19_crops/2019_BZ03_040379_box4_cow.jpg,cow,BZ03
385,nepal19_crops/2019_BZ03_048292_box0_cow.jpg,cow,BZ03
386,nepal19_crops/2019_BZ03_004867_box8_goat.jpg,goat,BZ03
388,nepal19_crops/2019_BZ03_050132_box0_cow.jpg,cow,BZ03
390,nepal19_crops/2019_BZ03_001095_box0_goat.jpg,goat,BZ03
391,nepal19_crops/2019_BZ03_002067_box0_cow.jpg,cow,BZ03
392,nepal19_crops/2019_BZ03_040240_box0_goat.jpg,goat,BZ03
393,nepal19_crops/2019_BZ03_040111_box1_buffalo.jpg,buffalo,BZ03
394,nepal19_crops/2019_BZ03_003978_box0_cow.jpg,cow,BZ03
395,nepal19_crops/2019_BZ03_003820_box0_cow.jpg,cow,BZ03
397,nepal19_crops/2019_BZ03_040430_box0_cow.jpg,cow,BZ03
398,nepal19_crops/2019_BZ03_040273_box3_goat.jpg,goat,BZ03
399,nepal19_crops/2019_BZ03_040129_box2_goat.jpg,goat,BZ03
401,nepal19_crops/2019_BZ03_049566_box0_cow.jpg,cow,BZ03
402,nepal19_crops/2019_BZ03_040273_box0_goat.jpg,goat,BZ03
403,nepal19_crops/2019_BZ03_040129_box4_buffalo.jpg,buffalo,BZ03
404,nepal19_crops/2019_BZ03_005251_box0_cow.jpg,cow,BZ03
405,nepal19_crops/2019_BZ03_001979_box4_cow.jpg,cow,BZ03
406,nepal19_crops/2019_BZ03_003880_box2_buffalo.jpg,buffalo,BZ03
408,nepal19_crops/2019_BZ03_002606_box4_cow.jpg,cow,BZ03
409,nepal19_crops/2019_BZ03_040475_box0_cow.jpg,cow,BZ03
410,nepal19_crops/2019_BZ03_043882_box0_cow.jpg,cow,BZ03
411,nepal19_crops/2019_BZ03_002746_box0_dog.jpg,dog,BZ03
412,nepal19_crops/2019_BZ03_052188_box1_cow.jpg,cow,BZ03
413,nepal19_crops/2019_BZ03_005399_box3_cow.jpg,cow,BZ03
414,nepal19_crops/2019_BZ03_041044_box1_cow.jpg,cow,BZ03
415,nepal19_crops/2019_BZ03_003730_box2_cow.jpg,cow,BZ03
416,nepal19_crops/2019_BZ03_041101_box0_cow.jpg,cow,BZ03
417,nepal19_crops/2019_BZ03_003999_box2_goat.jpg,goat,BZ03
418,nepal19_crops/2019_BZ03_003999_box1_goat.jpg,goat,BZ03
419,nepal19_crops/2019_BZ03_040911_box0_cow.jpg,cow,BZ03
420,nepal19_crops/2019_BZ03_003999_box4_cow.jpg,cow,BZ03
422,nepal19_crops/2019_BZ03_001966_box3_cow.jpg,cow,BZ03
423,nepal19_crops/2019_BZ03_004176_box4_cow.jpg,cow,BZ03
425,nepal19_crops/2019_BZ03_040379_box0_cow.jpg,cow,BZ03
426,nepal19_crops/2019_BZ03_003282_box0_cow.jpg,cow,BZ03
427,nepal19_crops/2019_BZ03_005437_box0_goat.jpg,goat,BZ03
428,nepal19_crops/2019_BZ03_003131_box3_goat.jpg,goat,BZ03
429,nepal19_crops/2019_BZ03_041237_box0_domestic_cat.jpg,domestic_cat,BZ03
430,nepal19_crops/2019_BZ03_002660_box3_cow.jpg,cow,BZ03
432,nepal19_crops/2019_BZ03_004792_box0_cow.jpg,cow,BZ03
433,nepal19_crops/2019_BZ03_002348_box0_goat.jpg,goat,BZ03
434,nepal19_crops/2019_BZ03_002846_box1_goat.jpg,goat,BZ03
435,nepal19_crops/2019_BZ03_003966_box0_cow.jpg,cow,BZ03
436,nepal19_crops/2019_BZ03_003964_box0_cow.jpg,cow,BZ03
437,nepal19_crops/2019_BZ03_048613_box4_cow.jpg,cow,BZ03
438,nepal19_crops/2019_BZ03_002237_box4_goat.jpg,goat,BZ03
439,nepal19_crops/2019_BZ03_002638_box1_cow.jpg,cow,BZ03
441,nepal19_crops/2019_BZ03_041283_box1_cow.jpg,cow,BZ03
444,nepal19_crops/2019_BZ03_000685_box0_cow.jpg,cow,BZ03
445,nepal19_crops/2019_BZ03_003547_box0_cow.jpg,cow,BZ03
446,nepal19_crops/2019_BZ03_002184_box1_dog.jpg,dog,BZ03
447,nepal19_crops/2019_BZ03_004228_box0_cow.jpg,cow,BZ03
448,nepal19_crops/2019_BZ03_004246_box0_cow.jpg,cow,BZ03
449,nepal19_crops/2019_BZ03_003785_box4_goat.jpg,goat,BZ03
451,nepal19_crops/2019_BZ03_005399_box1_cow.jpg,cow,BZ03
453,nepal19_crops/2019_BZ03_004253_box3_cow.jpg,cow,BZ03
454,nepal19_crops/2019_BZ03_004017_box0_cow.jpg,cow,BZ03
455,nepal19_crops/2019_BZ03_041241_box0_cow.jpg,cow,BZ03
458,nepal19_crops/2019_BZ03_002244_box4_cow.jpg,cow,BZ03
459,nepal19_crops/2019_BZ03_003621_box0_goat.jpg,goat,BZ03
460,nepal19_crops/2019_BZ03_052103_box0_cow.jpg,cow,BZ03
461,nepal19_crops/2019_BZ03_002100_box0_cow.jpg,cow,BZ03
462,nepal19_crops/2019_BZ03_041109_box0_cow.jpg,cow,BZ03
463,nepal19_crops/2019_BZ03_042487_box0_cow.jpg,cow,BZ03
465,nepal19_crops/2019_BZ03_003940_box0_cow.jpg,cow,BZ03
466,nepal19_crops/2019_BZ03_044872_box0_cow.jpg,cow,BZ03
467,nepal19_crops/2019_BZ03_003332_box1_cow.jpg,cow,BZ03
470,nepal19_crops/2019_BZ03_005449_box0_cow.jpg,cow,BZ03
471,nepal19_crops/2019_BZ03_003911_box1_buffalo.jpg,buffalo,BZ03
472,nepal19_crops/2019_BZ03_005268_box2_goat.jpg,goat,BZ03
474,nepal19_crops/2019_BZ03_002638_box4_cow.jpg,cow,BZ03
475,nepal19_crops/2019_BZ03_050197_box1_cow.jpg,cow,BZ03
476,nepal19_crops/2019_BZ03_005493_box0_dog.jpg,dog,BZ03
477,nepal19_crops/2019_BZ03_040116_box1_goat.jpg,goat,BZ03
478,nepal19_crops/2019_BZ03_002638_box2_cow.jpg,cow,BZ03
479,nepal19_crops/2019_BZ03_002846_box0_goat.jpg,goat,BZ03
480,nepal19_crops/2019_BZ03_040126_box4_buffalo.jpg,buffalo,BZ03
481,nepal19_crops/2019_BZ03_004297_box4_cow.jpg,cow,BZ03
482,nepal19_crops/2019_BZ03_002412_box1_cow.jpg,cow,BZ03
483,nepal19_crops/2019_BZ03_002277_box1_cow.jpg,cow,BZ03
484,nepal19_crops/2019_BZ03_002606_box1_cow.jpg,cow,BZ03
485,nepal19_crops/2019_BZ03_001979_box2_goat.jpg,goat,BZ03
486,nepal19_crops/2019_BZ03_002073_box0_cow.jpg,cow,BZ03
489,nepal19_crops/2019_BZ03_003685_box3_cow.jpg,cow,BZ03
491,nepal19_crops/2019_BZ03_005396_box0_cow.jpg,cow,BZ03
493,nepal19_crops/2019_BZ03_003740_box2_cow.jpg,cow,BZ03
494,nepal19_crops/2019_BZ03_004157_box1_cow.jpg,cow,BZ03
495,nepal19_crops/2019_BZ03_044418_box0_goat.jpg,goat,BZ03
496,nepal19_crops/2019_BZ03_040897_box2_cow.jpg,cow,BZ03
497,nepal19_crops/2019_BZ03_004867_box0_buffalo.jpg,buffalo,BZ03
498,nepal19_crops/2019_BZ03_003955_box0_cow.jpg,cow,BZ03
500,nepal19_crops/2019_BZ03_003190_box0_cow.jpg,cow,BZ03
